C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280.son DE_EMBEDDED Lk=0.0 l=280.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res1_w1_l280
13.157,-0.00212196
13.1572,-0.00212274
13.1574,-0.00212352
13.1576,-0.0021243
13.1578,-0.00212508
13.158,-0.00212586
13.1582,-0.00212665
13.1584,-0.00212744
13.1586,-0.00212822
13.1588,-0.00212901
13.159,-0.00212981
13.1592,-0.0021306
13.1594,-0.00213139
13.1596,-0.00213219
13.1598,-0.00213299
13.16,-0.00213379
13.1602,-0.00213459
13.1604,-0.00213539
13.1606,-0.00213619
13.1608,-0.002137
13.161,-0.0021378
13.1612,-0.00213861
13.1614,-0.00213942
13.1616,-0.00214023
13.1618,-0.00214105
13.162,-0.00214186
13.1622,-0.00214268
13.1624,-0.0021435
13.1626,-0.00214432
13.1628,-0.00214514
13.163,-0.00214596
13.1632,-0.00214678
13.1634,-0.00214761
13.1636,-0.00214844
13.1638,-0.00214927
13.164,-0.0021501
13.1642,-0.00215093
13.1644,-0.00215177
13.1646,-0.0021526
13.1648,-0.00215344
13.165,-0.00215428
13.1652,-0.00215512
13.1654,-0.00215596
13.1656,-0.00215681
13.1658,-0.00215765
13.166,-0.0021585
13.1662,-0.00215935
13.1664,-0.0021602
13.1666,-0.00216105
13.1668,-0.00216191
13.167,-0.00216277
13.1672,-0.00216362
13.1674,-0.00216448
13.1676,-0.00216535
13.1678,-0.00216621
13.168,-0.00216707
13.1682,-0.00216794
13.1684,-0.00216881
13.1686,-0.00216968
13.1688,-0.00217055
13.169,-0.00217143
13.1692,-0.0021723
13.1694,-0.00217318
13.1696,-0.00217406
13.1698,-0.00217494
13.17,-0.00217582
13.1702,-0.00217671
13.1704,-0.00217759
13.1706,-0.00217848
13.1708,-0.00217937
13.171,-0.00218027
13.1712,-0.00218116
13.1714,-0.00218206
13.1716,-0.00218295
13.1718,-0.00218385
13.172,-0.00218476
13.1722,-0.00218566
13.1724,-0.00218656
13.1726,-0.00218747
13.1728,-0.00218838
13.173,-0.00218929
13.1732,-0.0021902
13.1734,-0.00219112
13.1736,-0.00219204
13.1738,-0.00219296
13.174,-0.00219388
13.1742,-0.0021948
13.1744,-0.00219572
13.1746,-0.00219665
13.1748,-0.00219758
13.175,-0.00219851
13.1752,-0.00219944
13.1754,-0.00220038
13.1756,-0.00220131
13.1758,-0.00220225
13.176,-0.00220319
13.1762,-0.00220413
13.1764,-0.00220508
13.1766,-0.00220602
13.1768,-0.00220697
13.177,-0.00220792
13.1772,-0.00220888
13.1774,-0.00220983
13.1776,-0.00221079
13.1778,-0.00221175
13.178,-0.00221271
13.1782,-0.00221367
13.1784,-0.00221464
13.1786,-0.0022156
13.1788,-0.00221657
13.179,-0.00221754
13.1792,-0.00221852
13.1794,-0.00221949
13.1796,-0.00222047
13.1798,-0.00222145
13.18,-0.00222243
13.1802,-0.00222342
13.1804,-0.0022244
13.1806,-0.00222539
13.1808,-0.00222638
13.181,-0.00222738
13.1812,-0.00222837
13.1814,-0.00222937
13.1816,-0.00223037
13.1818,-0.00223137
13.182,-0.00223237
13.1822,-0.00223338
13.1824,-0.00223439
13.1826,-0.0022354
13.1828,-0.00223641
13.183,-0.00223743
13.1832,-0.00223844
13.1834,-0.00223946
13.1836,-0.00224048
13.1838,-0.00224151
13.184,-0.00224254
13.1842,-0.00224356
13.1844,-0.0022446
13.1846,-0.00224563
13.1848,-0.00224667
13.185,-0.0022477
13.1852,-0.00224874
13.1854,-0.00224979
13.1856,-0.00225083
13.1858,-0.00225188
13.186,-0.00225293
13.1862,-0.00225399
13.1864,-0.00225504
13.1866,-0.0022561
13.1868,-0.00225716
13.187,-0.00225822
13.1872,-0.00225929
13.1874,-0.00226035
13.1876,-0.00226142
13.1878,-0.0022625
13.188,-0.00226357
13.1882,-0.00226465
13.1884,-0.00226573
13.1886,-0.00226681
13.1888,-0.0022679
13.189,-0.00226899
13.1892,-0.00227008
13.1894,-0.00227117
13.1896,-0.00227227
13.1898,-0.00227336
13.19,-0.00227447
13.1902,-0.00227557
13.1904,-0.00227668
13.1906,-0.00227778
13.1908,-0.0022789
13.191,-0.00228001
13.1912,-0.00228113
13.1914,-0.00228225
13.1916,-0.00228337
13.1918,-0.00228449
13.192,-0.00228562
13.1922,-0.00228675
13.1924,-0.00228788
13.1926,-0.00228902
13.1928,-0.00229016
13.193,-0.0022913
13.1932,-0.00229244
13.1934,-0.00229359
13.1936,-0.00229474
13.1938,-0.00229589
13.194,-0.00229704
13.1942,-0.0022982
13.1944,-0.00229936
13.1946,-0.00230053
13.1948,-0.00230169
13.195,-0.00230286
13.1952,-0.00230403
13.1954,-0.00230521
13.1956,-0.00230638
13.1958,-0.00230757
13.196,-0.00230875
13.1962,-0.00230994
13.1964,-0.00231112
13.1966,-0.00231232
13.1968,-0.00231351
13.197,-0.00231471
13.1972,-0.00231591
13.1974,-0.00231711
13.1976,-0.00231832
13.1978,-0.00231953
13.198,-0.00232074
13.1982,-0.00232196
13.1984,-0.00232318
13.1986,-0.0023244
13.1988,-0.00232563
13.199,-0.00232685
13.1992,-0.00232809
13.1994,-0.00232932
13.1996,-0.00233056
13.1998,-0.0023318
13.2,-0.00233304
13.2002,-0.00233429
13.2004,-0.00233554
13.2006,-0.00233679
13.2008,-0.00233805
13.201,-0.00233931
13.2012,-0.00234057
13.2014,-0.00234183
13.2016,-0.0023431
13.2018,-0.00234438
13.202,-0.00234565
13.2022,-0.00234693
