C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280_param.son DE_EMBEDDED Lk=8.5 l=280.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res1_w1_l280_param
6.346,-0.00124579
6.348,-0.00124617
6.35,-0.00124656
6.352,-0.00124694
6.354,-0.00124733
6.356,-0.00124771
6.358,-0.0012481
6.36,-0.00124848
6.362,-0.00124886
6.364,-0.00124925
6.366,-0.00124963
6.368,-0.00125001
6.37,-0.0012504
6.372,-0.00125078
6.374,-0.00125116
6.376,-0.00125154
6.378,-0.00125193
6.38,-0.00125231
6.382,-0.00125269
6.384,-0.00125307
6.386,-0.00125345
6.388,-0.00125383
6.39,-0.00125422
6.392,-0.0012546
6.394,-0.00125498
6.396,-0.00125536
6.398,-0.00125574
6.4,-0.00125612
6.402,-0.0012565
6.404,-0.00125688
6.406,-0.00125726
6.408,-0.00125764
6.41,-0.00125801
6.412,-0.00125839
6.414,-0.00125877
6.416,-0.00125915
6.418,-0.00125953
