C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res4_w2_tunable_l90.son DE_EMBEDDED Lk=0.0 l=90.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res4_w2_tunable_l90
10.842,-0.144455
10.843,-0.144495
10.844,-0.144535
10.845,-0.144574
10.846,-0.144614
10.847,-0.144654
10.848,-0.144693
10.849,-0.144733
10.85,-0.144773
10.851,-0.144813
10.852,-0.144853
10.853,-0.144892
10.854,-0.144932
10.855,-0.144972
10.856,-0.145012
10.857,-0.145051
10.858,-0.145091
10.859,-0.145131
10.86,-0.145171
10.861,-0.145211
10.862,-0.145251
10.863,-0.14529
10.864,-0.14533
10.865,-0.14537
10.866,-0.14541
10.867,-0.14545
10.868,-0.14549
10.869,-0.14553
10.87,-0.14557
10.871,-0.14561
10.872,-0.14565
10.873,-0.145689
10.874,-0.145729
10.875,-0.145769
10.876,-0.145809
10.877,-0.145849
10.878,-0.145889
10.879,-0.145929
10.88,-0.145969
10.881,-0.146009
10.882,-0.146049
10.883,-0.146089
10.884,-0.146129
10.885,-0.146169
10.886,-0.146209
10.887,-0.146249
10.888,-0.146289
10.889,-0.146329
10.89,-0.146369
10.891,-0.146409
10.892,-0.14645
10.893,-0.14649
10.894,-0.14653
10.895,-0.14657
10.896,-0.14661
10.897,-0.14665
10.898,-0.14669
10.899,-0.14673
10.9,-0.14677
10.901,-0.14681
10.902,-0.146851
10.903,-0.146891
10.904,-0.146931
10.905,-0.146971
10.906,-0.147011
10.907,-0.147051
10.908,-0.147092
10.909,-0.147132
10.91,-0.147172
10.911,-0.147212
10.912,-0.147252
10.913,-0.147293
10.914,-0.147333
10.915,-0.147373
10.916,-0.147413
10.917,-0.147454
10.918,-0.147494
10.919,-0.147534
10.92,-0.147574
10.921,-0.147615
10.922,-0.147655
10.923,-0.147695
10.924,-0.147736
10.925,-0.147776
10.926,-0.147816
10.927,-0.147857
10.928,-0.147897
10.929,-0.147937
10.93,-0.147978
10.931,-0.148018
10.932,-0.148058
10.933,-0.148099
10.934,-0.148139
10.935,-0.14818
10.936,-0.14822
10.937,-0.14826
10.938,-0.148301
10.939,-0.148341
10.94,-0.148382
10.941,-0.148422
10.942,-0.148462
10.943,-0.148503
10.944,-0.148543
10.945,-0.148584
10.946,-0.148624
10.947,-0.148665
10.948,-0.148705
10.949,-0.148746
10.95,-0.148786
10.951,-0.148827
10.952,-0.148867
10.953,-0.148908
10.954,-0.148948
10.955,-0.148989
10.956,-0.149029
10.957,-0.14907
10.958,-0.14911
10.959,-0.149151
10.96,-0.149191
10.961,-0.149232
10.962,-0.149273
10.963,-0.149313
10.964,-0.149354
10.965,-0.149394
10.966,-0.149435
10.967,-0.149476
10.968,-0.149516
10.969,-0.149557
10.97,-0.149597
10.971,-0.149638
10.972,-0.149679
10.973,-0.149719
10.974,-0.14976
10.975,-0.149801
10.976,-0.149841
10.977,-0.149882
10.978,-0.149923
